Index,lng,lat,density
0,103.819836,1.352083,0
1,103.819836,1.379062648,10
2,103.819836,1.406042296,19
3,103.819836,1.433021945,8
4,103.819836,1.460001593,35
5,103.819836,1.325103352,19
6,103.819836,1.298123704,32
7,103.819836,1.271144055,43
8,103.819836,1.244164407,0
9,103.835417,1.35208295,31
10,103.835417,1.379062598,47
11,103.835417,1.406042246,8
12,103.835417,1.433021895,58
13,103.835417,1.460001543,12
14,103.835417,1.325103302,27
15,103.835417,1.298123654,41
16,103.835417,1.271144005,32
17,103.835417,1.244164357,0
18,103.8509981,1.3520829,36
19,103.8509981,1.379062548,44
20,103.8509981,1.406042196,0
21,103.8509981,1.433021845,12
22,103.8509981,1.460001493,0
23,103.8509981,1.325103252,47
24,103.8509981,1.298123604,77
25,103.8509981,1.271143956,15
26,103.8509981,1.244164307,0
27,103.8665791,1.35208285,46
28,103.8665791,1.379062498,31
29,103.8665791,1.406042146,16
30,103.8665791,1.433021795,0
31,103.8665791,1.460001443,0
32,103.8665791,1.325103202,45
33,103.8665791,1.298123554,29
34,103.8665791,1.271143906,8
35,103.8665791,1.244164257,0
36,103.8821602,1.3520828,48
37,103.8821602,1.379062448,59
38,103.8821602,1.406042096,0
39,103.8821602,1.433021745,0
40,103.8821602,1.460001393,0
41,103.8821602,1.325103152,49
42,103.8821602,1.298123504,24
43,103.8821602,1.271143856,0
44,103.8821602,1.244164207,0
45,103.8977412,1.35208275,31
46,103.8977412,1.379062398,49
47,103.8977412,1.406042046,17
48,103.8977412,1.433021695,0
49,103.8977412,1.460001343,0
50,103.8977412,1.325103102,50
51,103.8977412,1.298123454,24
52,103.8977412,1.271143806,0
53,103.8977412,1.244164157,0
54,103.9133223,1.3520827,0
55,103.9133223,1.379062348,13
56,103.9133223,1.406041997,22
57,103.9133223,1.433021645,0
58,103.9133223,1.460001293,0
59,103.9133223,1.325103052,39
60,103.9133223,1.298123404,19
61,103.9133223,1.271143756,0
62,103.9133223,1.244164107,0
63,103.9289033,1.35208265,30
64,103.9289033,1.379062298,18
65,103.9289033,1.406041947,0
66,103.9289033,1.433021595,0
67,103.9289033,1.460001243,0
68,103.9289033,1.325103002,57
69,103.9289033,1.298123354,4
70,103.9289033,1.271143706,0
71,103.9289033,1.244164057,0
72,103.9444844,1.3520826,51
73,103.9444844,1.379062248,51
74,103.9444844,1.406041897,0
75,103.9444844,1.433021545,0
76,103.9444844,1.460001193,0
77,103.9444844,1.325102952,42
78,103.9444844,1.298123304,0
79,103.9444844,1.271143656,0
80,103.9444844,1.244164007,0
81,103.9600654,1.35208255,47
82,103.9600654,1.379062198,26
83,103.9600654,1.406041847,0
84,103.9600654,1.433021495,0
85,103.9600654,1.460001143,0
86,103.9600654,1.325102902,16
87,103.9600654,1.298123254,0
88,103.9600654,1.271143606,0
89,103.9600654,1.244163958,0
90,103.9756465,1.3520825,11
